날짜,상품명,바코드,발주가능상태,입고수량,카테고리,출고수량
2019-05-16,V2_0,8801046893111,발주가능,384,세탁세제,72
2019-05-16,V2_3,8801046878941,발주가능,207,세탁세제,5
2019-05-16,V2_7,8801046992746,발주가능,520,헤어케어,19
2019-05-16,V2_11,8801046879030,발주가능,0,세탁세제,5
2019-05-16,V2_14,8801046245125,발주가능,96,세탁세제,1
2019-05-16,V2_16,8801046892916,발주가능,0,주방세제,4
2019-05-16,V2_17,8801046243541,발주가능,0,헤어케어,11
2019-05-16,V2_18,8801046240540,발주가능,120,헤어케어,15
2019-05-16,V2_20,8801046248584,발주가능,0,주방세제,0
2019-05-16,V2_22,8801046867877,발주가능,0,세탁세제,0
2019-05-16,V2_23,8801046253779,발주가능,0,세탁세제,13
2019-05-16,V2_24,8801046879047,발주가능,240,세탁세제,30
2019-05-16,V2_25,8801046879054,발주가능,0,세탁세제,12
2019-05-16,V2_28,8801046876985,발주가능,0,주방세제,0
2019-05-16,V2_29,8801046896365,발주가능,0,주방세제,0
2019-05-16,V2_31,8801046255568,발주가능,66,세탁세제,23
2019-05-16,V2_38,8801046902035,발주가능,0,헤어케어,0
2019-05-16,V2_43,8801046873816,발주가능,0,ST,0
2019-05-16,V2_47,8801046862421,발주가능,24,F&B,8
2019-05-16,V2_48,8801046862438,발주가능,320,F&B,18
2019-05-16,V2_49,8801046871546,발주가능,0,F&B,13
2019-05-16,V2_52,8801046870112,발주가능,156,F&B,10
2019-05-16,V2_53,8801046986660,발주가능,0,덴탈케어,0
2019-05-16,V2_54,8801046877920,발주가능,140,세탁세제,12
2019-05-16,V2_59,8801046259863,발주가능,624,F&B,13
2019-05-16,V2_60,18801046251529,발주가능,720,세탁세제,189
2019-05-16,V2_61,18801046260873,발주가능,0,세탁세제,0
2019-05-16,V2_62,18801046251512,발주가능,121,세탁세제,22
2019-05-16,V2_65,8801046277058,발주가능,0,헤어케어,0
2019-05-16,V2_67,8801046269350,발주가능,0,세탁세제,27
2019-05-16,V2_68,8801046269367,발주가능,0,세탁세제,10
2019-05-16,V2_70,8801046277867,발주가능,6,기타,4
2019-05-16,V2_71,8801046277874,발주가능,0,기타,10
2019-05-16,V2_72,8801046257494,발주가능,0,덴탈케어,0
2019-05-16,V2_73,8801046257593,발주가능,360,덴탈케어,25
2019-05-16,V2_74,18801046247744,발주가능,520,세탁세제,69
