_id,region,std_year_month,std_year,std_month,tour_trend,num_mention
65e92ddfbb908e26c804393d,강원,202007,2020,7,레포츠,58868
65e92ddfbb908e26c804393e,강원,202008,2020,8,레포츠,53624
65e92ddfbb908e26c804393f,강원,202006,2020,6,레포츠,49214
65e92ddfbb908e26c8043940,강원,202010,2020,10,레포츠,47223
65e92ddfbb908e26c8043941,강원,202007,2020,7,휴식/힐링,40740
65e92ddfbb908e26c8043942,강원,202005,2020,5,레포츠,40268
65e92ddfbb908e26c8043943,강원,202008,2020,8,휴식/힐링,35433
65e92ddfbb908e26c8043944,강원,202001,2020,1,레포츠,34565
65e92ddfbb908e26c8043945,강원,202009,2020,9,레포츠,32999
65e92ddfbb908e26c8043946,강원,202004,2020,4,레포츠,32584
65e92ddfbb908e26c8043947,강원,202012,2020,12,레포츠,32228
65e92ddfbb908e26c8043948,강원,202010,2020,10,휴식/힐링,32048
65e92ddfbb908e26c8043949,강원,202011,2020,11,레포츠,31602
65e92ddfbb908e26c804394a,강원,202006,2020,6,휴식/힐링,31421
65e92ddfbb908e26c804394b,강원,202005,2020,5,휴식/힐링,30457
65e92ddfbb908e26c804394c,강원,202011,2020,11,휴식/힐링,27567
65e92ddfbb908e26c804394d,강원,202002,2020,2,레포츠,27351
65e92ddfbb908e26c804394e,강원,202004,2020,4,휴식/힐링,24852
65e92ddfbb908e26c804394f,강원,202009,2020,9,휴식/힐링,24397
65e92ddfbb908e26c8043950,강원,202003,2020,3,레포츠,23635
65e92ddfbb908e26c8043951,강원,202001,2020,1,휴식/힐링,22470
65e92ddfbb908e26c8043952,강원,202012,2020,12,휴식/힐링,21376
65e92ddfbb908e26c8043953,강원,202003,2020,3,휴식/힐링,20733
65e92ddfbb908e26c8043954,강원,202002,2020,2,휴식/힐링,17350
65e92ddfbb908e26c8043955,강원,202007,2020,7,기타,11646
65e92ddfbb908e26c8043956,강원,202006,2020,6,기타,8815
65e92ddfbb908e26c8043957,강원,202011,2020,11,기타,8392
65e92ddfbb908e26c8043958,강원,202008,2020,8,기타,8375
65e92ddfbb908e26c8043959,강원,202005,2020,5,기타,8008
65e92ddfbb908e26c804395a,강원,202004,2020,4,기타,7159
65e92ddfbb908e26c804395b,강원,202010,2020,10,기타,7130
65e92ddfbb908e26c804395c,강원,202001,2020,1,기타,6912
65e92ddfbb908e26c804395d,강원,202009,2020,9,기타,6588
65e92ddfbb908e26c804395e,강원,202012,2020,12,기타,6103
